Li,FSI,DME,HFE,Toluene,"1,4-Dioxane",Digylme,THF,DMM,EC,PC,FEC,sulfolane,FEMC,featureA,featureB,featureC,featureD
0.101010101,0.101010101,0.898989899,0,0,0,0,0,0,0,0,0,0,0,-3.4,34.7,76.6,71.6
0.142857143,0.142857143,0.857142857,0,0,0,0,0,0,0,0,0,0,0,-3.38,44.7,79.5,78.7
0.2,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,-3.34,53,94.4,93.1
0.25,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,-3.3,57.4,96.1,94.5
0.333333333,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,-3.18,52.1,96.1,94.4
0.416666667,0.416666667,0.583333333,0,0,0,0,0,0,0,0,0,0,0,-3.06,89.5,95.9,95.5
0.130434783,0.130434783,0.782608696,0.086956522,0,0,0,0,0,0,0,0,0,0,-3.35,30.2,95.6,93.6
0.130434783,0.130434783,0.608695652,0.260869565,0,0,0,0,0,0,0,0,0,0,-3.29,30.2,95.3,93.5
0.130434783,0.130434783,0.52173913,0.347826087,0,0,0,0,0,0,0,0,0,0,-3.25,33.1,95.7,94.3
0.130434783,0.130434783,0.434782609,0.434782609,0,0,0,0,0,0,0,0,0,0,-3.19,32,95.8,94.6
0.130434783,0.130434783,0.347826087,0.52173913,0,0,0,0,0,0,0,0,0,0,-3.09,30.1,96.1,94.8
0.130434783,0.130434783,0.782608696,0,0.086956522,0,0,0,0,0,0,0,0,0,-3.37,51.9,86.7,85.9
0.130434783,0.130434783,0.608695652,0,0.260869565,0,0,0,0,0,0,0,0,0,-3.34,48.5,96.2,95.3
0.130434783,0.130434783,0.434782609,0,0.434782609,0,0,0,0,0,0,0,0,0,-3.28,63.7,97.3,96.1
0.130434783,0.130434783,0.347826087,0,0.52173913,0,0,0,0,0,0,0,0,0,-3.23,75.6,97.1,96
0.130434783,0.130434783,0.304347826,0,0.565217391,0,0,0,0,0,0,0,0,0,-3.18,83.7,97.1,96.3
